uid,room,name,group,description,face
286179206,8899503,时乃空Official,hololive,Hololive 虚拟偶像,http://i0.hdslb.com/bfs/face/d46c368d1d38176b0544830ad8a37da8157164f5.jpg
20813493,4664126,萝卜子Official,hololive,Hololive 虚拟偶像,http://i0.hdslb.com/bfs/face/6ae4539cc872c4c74f287b9bef438933b127d743.jpg
366690056,21144047,樱巫女Official,hololive,Hololive 虚拟偶像,http://i1.hdslb.com/bfs/face/3611a6e6d72b79cf4de3493eaa46a81a5d53d48d.jpg
9034870,190577,星街彗星Official,hololive,Hololive 虚拟偶像,http://i2.hdslb.com/bfs/face/000616391a8854f6c551e8010f82a4e6f4aca26d.jpg
389856447,21131813,夜空梅露Official,hololive,Hololive 一期生,http://i0.hdslb.com/bfs/face/3936f2e9963e855499124b91a28a166be4912021.jpg
336731767,13946381,夏色祭Official,hololive,Hololive 一期生,http://i0.hdslb.com/bfs/face/b52b2ebbe0a5b09d748bfe9411458e64291140c0.jpg
339567211,14275133,赤井心Official,hololive,Hololive 一期生,http://i1.hdslb.com/bfs/face/7f29ef5c6e98fb28bbb62ff8844714a10f9261d4.jpg
389857131,21219990,亚绮-罗森Official,hololive,Hololive 一期生,http://i2.hdslb.com/bfs/face/a19b7e1878ffbb433f4fc522912fe92b102a2a3f.jpg
332704117,11588230,白上吹雪Official,hololive,Hololive 一期生,http://i0.hdslb.com/bfs/face/e5a06bc27d2b3402126ca235693a725dfb606ba5.jpg
375504219,14917277,湊-阿库娅Official,hololive,Hololive 二期生,http://i1.hdslb.com/bfs/face/281753a6f2c08940ce82c36e870633991262a4cf.jpg
389857640,21132965,紫咲诗音Official,hololive,Hololive 二期生,http://i1.hdslb.com/bfs/face/1c8da908773382b5425f5260c24a93aa11fd74c5.jpg
389858027,21130785,百鬼绫目Official,hololive,Hololive 二期生,http://i2.hdslb.com/bfs/face/6b8ec6258e9b965e95d290eca218694fba5c7da5.jpg
389858754,21107534,癒月巧可Official,hololive,Hololive 二期生,http://i2.hdslb.com/bfs/face/20e9717bfa1063903e2b2d302c5e56a183c8525f.jpg
389859190,21129632,大空昴Official,hololive,Hololive 二期生,http://i1.hdslb.com/bfs/face/7109c6ed2e09813a3b0b4001b4a735366ec771fb.jpg
443305053,21560356,兔田佩克拉Official,hololive,Hololive 三期生,http://i1.hdslb.com/bfs/face/f0c37852be9bc5ffa86733955ad6f3e90478a111.jpg
443300418,21545232,润羽露西娅Official,hololive,Hololive 三期生,http://i1.hdslb.com/bfs/face/4bd4ef657316cd03baf20d3875e64f5f96500db6.jpg
454737600,21572617,不知火芙蕾雅Official,hololive,Hololive 三期生,http://i0.hdslb.com/bfs/face/348a503700dd8fe8c0dda8905e4f1e36d8a7b963.jpg
454733056,21583736,白银诺艾尔Official,hololive,Hololive 三期生,http://i0.hdslb.com/bfs/face/fe84fcfe4104409349dd0e0a1ae2d6ff29b960a2.jpg
454955503,21584153,宝钟玛琳Official,hololive,Hololive 三期生,http://i1.hdslb.com/bfs/face/12a6ffeba986692c357e7ef277a3df049133b470.jpg
491474048,21752681,天音彼方Official,hololive,Hololive 四期生,http://i2.hdslb.com/bfs/face/27c413a372ecd7c2fb73388b523d752f7a4d34c1.jpg
491474049,21752686,桐生可可Official,hololive,Hololive 四期生,http://i1.hdslb.com/bfs/face/776dcb833ff54439dc3503a5a6845b524d6a8464.jpg
491474050,21752694,角卷棉芽official,hololive,Hololive 四期生,http://i1.hdslb.com/bfs/face/e9bc3f214fedbb2c449dc71e54ad134a253a5469.jpg
491474051,21752710,常暗永远Official,hololive,Hololive 四期生,http://i0.hdslb.com/bfs/face/1cf4d0eeeeec5bdace6a693d877ceb79869cd2f6.jpg
491474052,21752719,姬森璐娜Official,hololive,Hololive 四期生,http://i0.hdslb.com/bfs/face/5752931a8eb0da1362ffa6432407659a88ea8e7e.jpg
389862071,21133979,大神澪Official,hololive,Hololive Gamers,http://i2.hdslb.com/bfs/face/d49183748d122e88854a3a2829590986d04a73ba.jpg
412135222,21420932,猫又小粥Official,hololive,Hololive Gamers,http://i0.hdslb.com/bfs/face/76038fe61c9a5ed4aa47e5ee0949666ae03f8d1e.jpg
412135619,21421141,戌神沁音Official,hololive,Hololive Gamers,http://i0.hdslb.com/bfs/face/eca81f180c12239985f157d024ff4512c74280c8.jpg
389056211,21267062,AZKi_Official,hololive,INNK Music,http://i0.hdslb.com/bfs/face/d9c777fb0246ee88ee083ff9ae428ed0f4f8c158.jpg
427061218,21618129,夜霧Yogiri,hololive,Hololive 中国,http://i2.hdslb.com/bfs/face/02ca385a522df4c5e9351c59aebe28b7bd1f94ea.jpg
354411419,21618138,希薇娅Civia,hololive,Hololive 中国,http://i0.hdslb.com/bfs/face/944255c9f2382da81c7c46dfb02ed99ba9a505ff.jpg
456368455,21641569,黑桃影,hololive,Hololive 中国,http://i1.hdslb.com/bfs/face/0de2baef071d2db5f2010dab52e71e8680f78b0f.jpg
